                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2152,                 1.4123,                 2.3344,                0.66731,                0.66449,                0.67769,                0.50691,                 1.8326,                0.82356,                 2.1463,              0.0083508,              0.0083508,              0.0083508
                     35,                 2.2271,                 1.4023,                 2.3365,                0.93396,                0.60579,                0.69067,                0.51941,                  1.822,                0.80696,                 2.1392,              0.0083009,              0.0083009,              0.0083009
                     36,                 2.2019,                 1.3881,                 2.3325,                0.69178,                0.73293,                0.70843,                 0.5356,                 1.8109,                0.77666,                 2.1287,              0.0082509,              0.0082509,              0.0082509
                     37,                 2.1883,                 1.3683,                 2.3293,                0.71428,                0.67849,                0.68626,                0.50777,                 1.7971,                0.77616,                 2.1254,              0.0082009,              0.0082009,              0.0082009
                     38,                 2.1654,                  1.364,                 2.3128,                0.67313,                0.79249,                0.74904,                0.54882,                 1.7734,                 0.7724,                 2.1159,              0.0081509,              0.0081509,              0.0081509
                     39,                 2.1748,                 1.3497,                 2.3361,                0.94707,                0.61162,                0.69196,                0.51736,                  1.779,                0.77546,                 2.1216,               0.008101,               0.008101,               0.008101
                     40,                 1.9991,                 1.2142,                 2.2289,                 0.9108,                0.62371,                0.70893,                0.52812,                 1.7417,                0.74358,                 2.1096,               0.008051,               0.008051,               0.008051
                     41,                   1.99,                 1.2124,                 2.2264,                0.95423,                0.59804,                0.70998,                0.53715,                 1.7479,                 0.7488,                 2.1021,               0.008001,               0.008001,               0.008001
                     42,                  2.008,                  1.249,                 2.2427,                0.58101,                0.71089,                0.71789,                0.54449,                 1.7279,                0.73563,                    2.1,               0.007951,               0.007951,               0.007951
                     43,                 2.0339,                 1.2393,                 2.2588,                 0.7234,                0.64625,                0.70886,                0.54116,                 1.7172,                0.72237,                   2.09,              0.0079011,              0.0079011,              0.0079011
                     44,                 2.0597,                  1.265,                 2.2616,                0.79103,                0.73828,                0.77477,                0.56389,                 1.7187,                0.72618,                 2.0919,              0.0078511,              0.0078511,              0.0078511
                     45,                 2.0552,                 1.2561,                 2.2616,                 0.6924,                0.74199,                0.74222,                0.56704,                  1.716,                0.73259,                 2.0835,              0.0078011,              0.0078011,              0.0078011
                     46,                 2.0218,                 1.2407,                 2.2409,                0.82604,                0.69233,                0.76011,                0.57767,                 1.6928,                0.70972,                 2.0708,              0.0077511,              0.0077511,              0.0077511
                     47,                 2.0343,                 1.2341,                 2.2511,                0.77103,                 0.7124,                0.74746,                0.56794,                 1.6722,                0.70833,                 2.0544,              0.0077012,              0.0077012,              0.0077012
                     48,                 2.0153,                 1.2245,                 2.2376,                 0.7956,                0.70193,                0.74886,                0.57442,                 1.6776,                0.71358,                 2.0682,              0.0076512,              0.0076512,              0.0076512
                     49,                 2.0071,                 1.2039,                  2.233,                0.70311,                0.71409,                0.73629,                0.55018,                 1.6617,                0.70318,                  2.064,              0.0076012,              0.0076012,              0.0076012
                     50,                 2.0073,                 1.2062,                 2.2274,                 0.8542,                0.70905,                0.76703,                0.56242,                 1.6523,                 0.6882,                 2.0515,              0.0075512,              0.0075512,              0.0075512
                     51,                 1.9955,                 1.2072,                 2.2245,                 0.7983,                 0.7428,                0.79194,                0.60356,                 1.6439,                0.67667,                 2.0472,              0.0075012,              0.0075012,              0.0075012
                     52,                 2.0035,                 1.2103,                 2.2283,                0.83352,                0.77657,                0.80142,                0.61632,                  1.627,                0.66825,                 2.0419,              0.0074513,              0.0074513,              0.0074513
                     53,                 1.8306,                 1.0864,                 2.1426,                0.79758,                0.77751,                 0.8037,                0.62137,                  1.604,                 0.6526,                 2.0257,              0.0074013,              0.0074013,              0.0074013
                     54,                 1.6482,                0.96179,                 2.0603,                0.82235,                  0.767,                0.83585,                0.62967,                 1.6033,                0.65728,                   2.03,              0.0073513,              0.0073513,              0.0073513
